id,name,team,nationality,position,start_date,end_date,is_loan,appearances,source
af-96814,Chico Flores,FC Barcelona,,,2008-01-02,,true,1,api_football_team_529
af-16256,Pablo Andrés Saucedo,FC Barcelona,,,2010-12-15,2015-01-01,false,1,api_football_team_529
af-272162,Francisco Javier Álvarez Ferrer,Monaco,,,2015-08-11,,false,1,api_football_team_529
af-46822,Lombán,FC Barcelona,,,2012-07-10,2013-07-09,false,1,api_football_team_529
af-41047,Joel Huertas Cornudella,FC Barcelona,,,2015-07-01,2016-07-18,false,1,api_football_team_529
af-50085,Douglas Pereira,FC Barcelona,,,2017-07-01,2018-07-23,false,1,api_football_team_529
af-50085,Douglas Pereira,Benfica,,,2017-08-31,,true,1,api_football_team_529
af-106107,Ernesto Cornejo,Benfica,,,2012-07-03,,false,1,api_football_team_529
af-44356,Soriano,FC Barcelona,,,2009-07-30,2012-01-19,false,1,api_football_team_529
af-44356,Soriano,Salzburg,,,2012-01-19,,false,1,api_football_team_529
af-77746,Keirrison de Souza Carneiro,FC Barcelona,,,2010-07-09,,false,1,api_football_team_502
af-111625,Gai Yigaal Assulin,Manchester City,,,2010-12-13,2012-07-01,false,1,api_football_team_50
af-27221,Salvador Pérez Martínez,FC Barcelona,,,2016-01-21,2016-07-31,false,1,api_football_team_529
af-8635,Diawandou Diagné Niang,FC Barcelona,,,2014-07-11,2015-07-06,false,1,api_football_team_529
170369,Giovani dos Santos Ramírez,Tottenham Hotspur,,,2008-07-01,2012-08-31,false,1,api_football_team_47
af-72157,I. Afellay,FC Barcelona,,,2013-07-01,2015-07-27,false,1,api_football_team_529
20775,Ricardo Andrade Quaresma Bernardo,FC Barcelona,,,2003-08-01,2004-08-01,false,1,api_football_team_529
20775,Ricardo Andrade Quaresma Bernardo,FC Porto,,,2004-08-01,,false,1,api_football_team_529
af-2047,Aleix Vidal,FC Barcelona,,,2016-01-04,2018-08-04,false,1,api_football_team_536
af-2047,Aleix Vidal,Sevilla FC,,,2018-08-04,,false,1,api_football_team_529
af-108,Cesc Fàbregas,Arsenal FC,,,2003-08-16,2011-08-15,false,1,api_football_team_42
af-108,Cesc Fàbregas,FC Barcelona,,,2011-08-15,,false,1,api_football_team_42
af-108,Cesc Fàbregas,Chelsea FC,,,2014-07-01,2019-01-11,false,1,api_football_team_49
af-49859,A. Turan,FC Barcelona,,,2020-01-04,2020-08-05,true,1,api_football_team_529
af-49859,A. Turan,Galatasaray,,,2020-08-05,,false,1,api_football_team_529
af-36033,Mario Abrante,FC Barcelona,,,2003-07-01,,true,1,api_football_team_529
af-10576,Maximiliano Gastón López,FC Barcelona,,,2005-01-01,2007-07-01,false,1,api_football_team_529
af-33395,Isaac Cuenca,Ajax,,,2013-01-31,2013-07-01,true,1,api_football_team_529
af-33395,Isaac Cuenca,FC Barcelona,,,2013-07-01,2014-07-11,false,1,api_football_team_529
af-96342,Agostinho Odiquir Cá,FC Barcelona,,,2016-07-01,2017-04-01,false,1,api_football_team_529
af-19512,Bojan Krkić,AS Roma,,,2011-07-22,2013-07-01,false,1,api_football_team_497
af-19512,Bojan Krkić,FC Barcelona,,,2013-07-01,,false,1,api_football_team_497
af-19512,Bojan Krkić,Ajax,,,2013-07-06,,true,1,api_football_team_529
af-33257,David Villa,FC Barcelona,,,2010-07-01,,false,1,api_football_team_532
af-33257,David Villa,Atletico Madrid,,,2013-07-09,2014-07-01,false,1,api_football_team_530
af-89870,Andrea Orlandi Stabilin,FC Barcelona,,,2005-08-01,,true,1,api_football_team_529
af-95475,Rafael Márquez Álvarez,FC Barcelona,,,2003-08-01,2010-08-01,false,1,api_football_team_529
af-2058,Nolito,Benfica,,,2011-07-01,,false,1,api_football_team_529
af-113977,J. Saviola,FC Barcelona,,,2006-08-01,,false,1,api_football_team_536
af-113977,J. Saviola,Monaco,,,2004-07-01,2005-07-01,true,1,api_football_team_529
af-113977,J. Saviola,Sevilla FC,,,2005-08-01,2006-08-01,true,1,api_football_team_536
af-113977,J. Saviola,Real Madrid,,,2007-08-01,2009-06-26,false,1,api_football_team_541
af-13073,J. Mascherano,FC Barcelona,,,2010-08-29,,false,1,api_football_team_40
af-642,S. Agüero,FC Barcelona,,,2021-07-01,,false,1,api_football_team_50
af-217943,J. Riquelme,FC Barcelona,,,2002-11-26,2005-07-01,false,1,api_football_team_529
af-2312,Aleksandr Hleb,FC Barcelona,,,2012-01-01,2012-02-17,false,1,api_football_team_529
af-43087,Amir Natkho,FC Barcelona,,,2014-07-11,2015-08-31,false,1,api_football_team_529
157304,Thomas Vermaelen,FC Barcelona,,,2017-07-01,,false,1,api_football_team_497
157304,Thomas Vermaelen,AS Roma,,,2016-08-08,2017-07-01,true,1,api_football_team_497
af-136,Piqué,FC Barcelona,,,2008-07-01,,false,1,api_football_team_33
af-51070,Z. Ibrahimović,FC Barcelona,,,2009-07-28,,false,1,api_football_team_505
af-51070,Z. Ibrahimović,AC Milan,,,2011-07-01,,false,1,api_football_team_529
af-1977,Adriano,FC Barcelona,,,2010-07-17,,false,1,api_football_team_536
af-1977,Adriano,Besiktas,,,2016-08-09,,false,1,api_football_team_529
af-77982,Robert Gonçalves Santos,FC Barcelona,,,2016-01-01,2016-07-01,true,1,api_football_team_529
53405,Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,,,2012-01-12,,false,1,api_football_team_85
af-115639,Ronaldo,FC Barcelona,,,1996-07-01,1997-07-01,false,1,api_football_team_529
af-115639,Ronaldo,Inter Milan,,,1997-07-01,2002-07-01,false,1,api_football_team_505
af-256,Dani Alves,FC Barcelona,,,2021-12-13,2022-07-26,false,1,api_football_team_529
af-256,Dani Alves,Juventus,,,2016-07-01,,false,1,api_football_team_496
af-114413,Ronaldinho Gaúcho,FC Barcelona,,,2003-08-01,,false,1,api_football_team_85
af-114413,Ronaldinho Gaúcho,AC Milan,,,2008-08-01,2011-01-11,false,1,api_football_team_489
af-115875,Edmilson,FC Barcelona,,,2004-07-01,,false,1,api_football_team_80
49370,Thiago Motta,Atletico Madrid,,,2007-08-01,2008-08-01,false,1,api_football_team_530
157503,Alexandre Dimitri Song-Billong,FC Barcelona,,,2012-08-20,,false,1,api_football_team_42
157503,Alexandre Dimitri Song-Billong,West Ham United,,,2015-09-01,,true,1,api_football_team_48
af-42432,Samuel Eto'o Fils,FC Barcelona,,,2004-08-01,2009-07-28,false,1,api_football_team_529
af-42432,Samuel Eto'o Fils,Inter Milan,,,2009-07-28,2011-08-23,false,1,api_football_team_505
af-75664,Iván Emilio Borghello,FC Barcelona,,,2011-02-15,2012-07-18,false,1,api_football_team_529
af-152,K. Boateng,FC Barcelona,,,2019-01-21,,true,1,api_football_team_529
af-13688,E. Soto,FC Barcelona,,,2006-01-01,2007-01-10,false,1,api_football_team_529
af-81251,Armando Lenín Wila Cangá,FC Barcelona,,,2015-07-01,2016-02-23,false,1,api_football_team_529
af-81251,Armando Lenín Wila Cangá,Al Nassr,,,2015-01-26,2015-07-01,false,1,api_football_team_529
af-1480,J. Mathieu,FC Barcelona,,,2014-07-23,,false,1,api_football_team_532
af-1480,J. Mathieu,Sporting CP,,,2017-07-07,,false,1,api_football_team_529
af-75263,Andrés Franzoia,FC Barcelona,,,2013-07-01,2015-01-15,false,1,api_football_team_529
af-92748,Marc Crosas,Lyon,,,2008-01-01,,true,1,api_football_team_80
af-96798,Seydou Kéita,FC Barcelona,,,2008-07-01,,false,1,api_football_team_536
af-90493,Y. Touré,FC Barcelona,,,2007-08-01,2010-07-02,false,1,api_football_team_529
af-90493,Y. Touré,Manchester City,,,2010-07-02,2018-09-02,false,1,api_football_team_50
af-58183,Nicolás Andrés Olmedo,FC Barcelona,,,2012-12-27,2013-07-29,false,1,api_football_team_529
af-81246,Joao Daniel Chasing López,FC Barcelona,,,2018-02-14,,false,1,api_football_team_529
af-322403,C. Cortes,FC Barcelona,,,2023-07-01,,false,1,api_football_team_529
af-1043,J. Suárez,Sporting CP,,,2011-08-02,,false,1,api_football_team_529
af-12719,Paulinho,FC Barcelona,,,2017-08-14,2019-01-02,false,1,api_football_team_529
af-507,Thiago Alcântara,Bayern Munich,,,2013-07-15,2020-09-18,false,1,api_football_team_157
af-590,D. Chyhrynskyi,FC Barcelona,,,2009-08-31,2010-07-01,false,1,api_football_team_529
af-590,D. Chyhrynskyi,Shakhtar Donetsk,,,2010-07-01,,false,1,api_football_team_529
af-614,C. Bravo,FC Barcelona,,,2014-07-01,2016-08-25,false,1,api_football_team_529
af-614,C. Bravo,Manchester City,,,2016-08-25,2020-08-30,false,1,api_football_team_50
af-142,Rafinha,FC Barcelona,,,2020-09-01,2020-10-05,false,1,api_football_team_529
af-142,Rafinha,Inter Milan,,,2018-01-22,2018-07-01,true,1,api_football_team_505
af-142,Rafinha,Paris Saint-Germain,,,2020-10-05,,false,1,api_football_team_529
af-103015,Lobato,FC Barcelona,,,2011-07-01,,false,1,api_football_team_529
af-47041,Alberto Perea,FC Barcelona,,,2016-01-14,2017-07-17,false,1,api_football_team_529
af-18809,Deulofeu,Everton FC,,,2015-07-01,2017-07-01,false,1,api_football_team_45
af-18809,Deulofeu,FC Barcelona,,,2017-07-01,,false,1,api_football_team_45
af-18809,Deulofeu,Sevilla FC,,,2014-08-18,,true,1,api_football_team_536
af-80264,Vitinho,FC Barcelona,,,2017-07-13,2018-07-01,true,1,api_football_team_529
